Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00 1564225/1564225     mpeg4_is_resync [81]
                0.00    0.00 1286917/1286917     h263_decode_motion [87]
                0.00    0.00  970204/970204      clear_blocks_c [88]
                0.00    0.00  643458/643458      h263_pred_motion [90]
-----------------------------------------------
               13.30    0.00 5244910/5244910     mpeg4_decode_mb [5]
[6]     13.3   13.30    0.00 5244910         mpeg4_decode_block [6]
                0.00    0.00 1384158/1384158     mpeg4_pred_ac [85]
                0.00    0.00 1384158/1384158     get_amv [83]
                0.00    0.00 1384158/1384158     mpeg4_decode_dc [84]
-----------------------------------------------
               12.29    0.00 1384157/1384157     MPV_decode_mb [4]
[7]     12.3   12.29    0.00 1384157         put_dct [7]
                0.00    0.00 1384157/1384157     dct_unquantize_h263_intra_armv5te [86]
-----------------------------------------------
                8.66    0.00  885293/885293      MPV_decode_mb [4]
[8]      8.6    8.66    0.00  885293         MPV_motion [8]
                0.00    0.00  885292/885292      prefetch_motion [89]
                0.00    0.00   72857/72857       ff_put_no_rnd_pixels16_xy2_arm [93]
                0.00    0.00   53758/53758       ff_emulated_edge_mc [94]
                0.00    0.00   51935/51935       ff_put_pixels16_xy2_arm [95]
                0.00    0.00   44058/44058       ff_put_no_rnd_pixels16_y2_arm [97]
                0.00    0.00   40111/40111       ff_put_no_rnd_pixels16_x2_arm [98]
                0.00    0.00   35029/35029       ff_put_pixels16_y2_arm [101]
                0.00    0.00   31614/31614       ff_put_pixels16_x2_arm [102]
-----------------------------------------------
                                                 <spontaneous>
[9]      8.0    0.00    7.99                 av_find_stream_info [9]
                0.01    6.76       1/1           avcodec_decode_audio3 [10]
                0.06    0.99      56/56          av_read_frame_internal [15]
                0.12    0.00      56/56          av_dup_packet [30]
                0.02    0.00      52/64          av_rescale_q [44]
                0.00    0.01       2/2           avcodec_close [50]
                0.00    0.01       2/2           avcodec_open [52]
                0.00    0.01      56/56          add_to_pktbuf [63]
                0.00    0.00       1/1           fill_all_stream_timings [69]
                0.00    0.00       1/2           av_update_stream_timings [67]
                0.00    0.00       2/2           av_parser_init [70]
                0.00    0.00       1/133         av_mallocz [42]
                0.00    0.00       1/18158       url_ftell [40]
                0.00    0.00     116/116         has_codec_parameters [149]
                0.00    0.00      57/3613        __aeabi_ulcmp [3714]
                0.00    0.00      48/60          av_gcd [151]
                0.00    0.00       3/12          av_reduce [157]
                0.00    0.00       2/2           avcodec_find_decoder [186]
                0.00    0.00       2/11768       av_free [109]
                0.00    0.00       2/9231        av_malloc [111]
                0.00    0.00       1/2           av_get_bits_per_sample [180]
